"Year","Monthly_MSL","Linear_Trend","High_Conf","Low_Conf"
1856-01-01,-0.25,-0.393,-0.385,-0.402
1856-02-01,-0.247,-0.393,-0.384,-0.402
1856-03-01,-0.345,-0.393,-0.384,-0.402
1856-04-01,-0.355,-0.393,-0.384,-0.401
1856-05-01,-0.324,-0.392,-0.384,-0.401
1856-06-01,-0.462,-0.392,-0.383,-0.401
1856-07-01,-0.409,-0.392,-0.383,-0.401
1856-08-01,-0.392,-0.392,-0.383,-0.4
1856-09-01,-0.45,-0.391,-0.383,-0.4
1856-10-01,-0.459,-0.391,-0.382,-0.4
1856-11-01,-0.379,-0.391,-0.382,-0.4
1856-12-01,-0.29,-0.391,-0.382,-0.399
1857-01-01,-0.25,-0.39,-0.382,-0.399
1857-02-01,-0.284,-0.39,-0.381,-0.399
1857-03-01,-0.302,-0.39,-0.381,-0.399
1857-04-01,-0.34,-0.39,-0.381,-0.398
1857-05-01,-0.293,-0.389,-0.381,-0.398
1857-06-01,-0.319,-0.389,-0.381,-0.398
1857-07-01,-0.36,-0.389,-0.38,-0.398
1857-08-01,-0.356,-0.389,-0.38,-0.397
1857-09-01,-0.383,-0.388,-0.38,-0.397
1857-10-01,-0.429,-0.388,-0.38,-0.397
1857-11-01,-0.339,-0.388,-0.379,-0.397
1857-12-01,-0.275,-0.388,-0.379,-0.396
1858-01-01,-0.229,-0.387,-0.379,-0.396
1858-02-01,-0.272,-0.387,-0.379,-0.396
1858-03-01,-0.321,-0.387,-0.378,-0.396
1858-04-01,-0.38,-0.387,-0.378,-0.395
1858-05-01,-0.357,-0.387,-0.378,-0.395
1858-06-01,-0.341,-0.386,-0.378,-0.395
1858-07-01,-0.372,-0.386,-0.377,-0.395
1858-08-01,-0.444,-0.386,-0.377,-0.394
1858-09-01,-0.465,-0.386,-0.377,-0.394
1858-10-01,-0.508,-0.385,-0.377,-0.394
1858-11-01,-0.364,-0.385,-0.376,-0.394
1858-12-01,-0.278,-0.385,-0.376,-0.393
1859-01-01,-0.247,-0.385,-0.376,-0.393
1859-02-01,-0.256,-0.384,-0.376,-0.393
1859-03-01,-0.296,-0.384,-0.376,-0.393
1859-04-01,-0.346,-0.384,-0.375,-0.392
1859-05-01,-0.308,-0.384,-0.375,-0.392
1859-06-01,-0.371,-0.383,-0.375,-0.392
1859-07-01,-0.339,-0.383,-0.375,-0.392
1859-08-01,-0.343,-0.383,-0.374,-0.391
1859-09-01,-0.401,-0.383,-0.374,-0.391
1859-10-01,-0.423,-0.382,-0.374,-0.391
1859-11-01,-0.355,-0.382,-0.374,-0.391
1859-12-01,-0.239,-0.382,-0.373,-0.39
1860-01-01,-0.244,-0.382,-0.373,-0.39
1860-02-01,-0.253,-0.381,-0.373,-0.39
1860-03-01,-0.327,-0.381,-0.373,-0.39
1860-04-01,-0.355,-0.381,-0.372,-0.389
1860-05-01,-0.342,-0.381,-0.372,-0.389
1860-06-01,-0.337,-0.38,-0.372,-0.389
1860-07-01,-0.381,-0.38,-0.372,-0.389
1860-08-01,-0.392,-0.38,-0.371,-0.388
1860-09-01,-0.438,-0.38,-0.371,-0.388
1860-10-01,-0.447,-0.379,-0.371,-0.388
1860-11-01,-0.397,-0.379,-0.371,-0.388
1860-12-01,-0.297,-0.379,-0.371,-0.387
1862-01-01,-0.296,-0.376,-0.367,-0.384
1862-02-01,-0.305,-0.376,-0.367,-0.384
1862-03-01,-0.312,-0.375,-0.367,-0.384
1862-04-01,-0.343,-0.375,-0.367,-0.383
1862-05-01,-0.311,-0.375,-0.367,-0.383
1862-06-01,-0.35,-0.375,-0.366,-0.383
1862-07-01,-0.336,-0.374,-0.366,-0.383
1862-08-01,-0.395,-0.374,-0.366,-0.382
1862-09-01,-0.444,-0.374,-0.366,-0.382
1862-10-01,-0.49,-0.374,-0.365,-0.382
1862-11-01,-0.364,-0.373,-0.365,-0.382
1862-12-01,-0.284,-0.373,-0.365,-0.381
1863-01-01,-0.314,-0.373,-0.365,-0.381
1863-02-01,-0.348,-0.373,-0.364,-0.381
1863-03-01,-0.354,-0.372,-0.364,-0.381
